	Supplementary table 2_4: GO results of N-RNA (GO groups shown in Figure 2.2)						
	9.5E-03	208	1677	1.29	GO:0006811 ion transport	http://amigo.geneontology.org/amigo/term/GO:0006811	SLC7A2,LTF,ATP2C1,CP,PRSS8,SLC9A7,TRPC5,PANX2,ATP12A,CHRNA3,SLC8B1,TRPM7,KCNK6,HRH3,SLC52A3,NIPAL2,CACNG7,ATP4A,HAMP,SCN1B,TFR2,CHRNE,ASIC2,TRPV4,SLC38A1,RHAG,SLC22A2,SLC4A9,KCNC4,SLC19A2,CHRNB4,SLC8A2,PKD2,TRPM6,FLVCR2,KCNS1,KCNK17,SLC25A19,CRACR2A,DPP6,SLC7A10,KCNC3,RAMP2,LGALS3,SLC52A1,SYT6,SLC38A2,ANO3,TMEM165,TRPC6,SLC15A4,SLC39A5,SLC13A5,STAC2,TRPM2,CACNG8,ATP1B1,CACNA1B,SLC25A4,KCNE4,HOMER1,SLC16A12,SLC5A10,SLC34A2,SLC13A3,SLC1A7,FLVCR1,GABRG1,SLMAP,SLC51A,SLC7A3,SLC39A2,CACNB2,SCNN1G,KCNAB1,CLIC4,SLC16A5,SLC30A1,KCNS3,KCNG3,SYT12,ATP2A2,KCNE3,HEPHL1,SLC25A18,OTOP2,KCND2,ANO9,SLC36A2,NPSR1,GABRD,CATSPER4,SLC25A29,ENPP1,WWP2,CNGA1,SLC34A3,SYT3,SHISA8,AKAP5,SLC25A21,GRIN2A,ATP6V0A2,FLNA,RYR2,MGST1,VMP1,GNB5,SLC4A11,TESC,MMP9,CALCA,HVCN1,FGF2,XCL1,SLC22A3,CACNA2D1,KCNMA1,LRRC38,NETO1,RAB3B,CXCL11,CEBPB,CD19,PLCG2,CYBA,MCOLN3,ATG5,SPHK2,TMEM38A,ATP8B1,FTL,TREM2,PIEZO1,ABCC3,SLC9A3R1,SLC15A3,CYP27B1,PTPN6,CERT1,SLC27A6,STEAP3,SLC35A3,VPS4B,EDN3,HSPA2,SERINC3,PTPN22,CLDN10,SLC19A3,SLC22A7,LHCGR,METTL21C,TMC6,TNFRSF11A,STOM,LCN2,GRIK4,GRID2,MCOLN2,JPH3,COX6A2,CACNA2D3,PKD1L1,SV2A,ATP13A2,SLC15A2,NPY5R,SPINK1,GRIK2,STEAP1,SYK,SLC18A2,CYB5A,PKD1L2,PROCA1,MFSD3,SLC33A1,PTAFR,EMB,TMEM37,PDZD3,ZDHHC13,SLC38A9,TCN2,P2RX2,PLA2G2A,CLDN4,GJA5,CALCR,CLTRN,CHRM1,SNAP23,EPPIN,DIAPH1,COX17,CLTC,LMTK2,CEACAM1,NOS1,MINK1,CRHBP,ADRA2A,NRXN1,CAPN1,JPH1,SGK1,CYB5R2
	1.1E-02	112	794	1.43	GO:0055080 cation homeostasis	http://amigo.geneontology.org/amigo/term/GO:0055080	CALCR,TBXA2R,ATP2C1,CP,SLC9A7,TRPC5,ATP12A,FTL,SLC8B1,TRPM7,ATP4A,HAMP,TFR2,CALCA,TRPV4,RHAG,SLC4A9,SLC8A2,PKD2,EDN3,MT1G,GPR18,PTGER2,C5AR2,TMEM165,TRPC6,SLC39A5,TRPM2,ATP1B1,FATE1,CACNA1B,ATP13A2,CD52,MT1E,SLC30A1,FPR2,ADRA1D,ATP2A2,GPR4,HEPHL1,ATP6V0A2,MT1X,NPSR1,FPR3,MT1H,MT1HL1,AKAP5,FLNA,RYR2,SLC4A11,GLP1R,MYC,FGF2,XCL1,LCN2,KCNMA1,SCNN1G,CXCL11,CD19,LACC1,GRIN2A,CD55,PLCG2,TUNAR,CD38,LTF,HEXB,PIK3CB,CYBA,MCOLN3,ATG5,GNA15,TMEM38A,UPK3A,HIF1A,PTPN6,STEAP3,ACO1,HVCN1,APOE,SCO1,SWAP70,LHCGR,METTL21C,SYPL2,MCOLN2,JPH3,GHRL,SV2A,SPINK1,GRIK2,STEAP1,CACNB2,CLIC4,BOK,TMEM64,MAFG,GRN,CYP27B1,DIAPH1,RAB39A,SPX,CACNA2D1,TESMIN,P2RX2,S100A14,NOS1,XIAP,JPH1,FLVCR1,LPAR3,S1PR3
	1.2E-02	57	447	1.68	GO:0002831 regulation of response to biotic stimulus	http://amigo.geneontology.org/amigo/term/GO:0002831	PTPN22,PARP9,HERC5,NLRC5,SUSD4,IFI16,KLK5,LTF,GRN,CYBA,ATG5,IFI35,RNF125,TLR8,IL23A,IL12B,APOBEC3F,EMILIN2,OASL,SLC15A4,KLK3,SERPING1,ZC3H12A,FPR2,HEXIM1,CD55,IRAK3,TYRO3,TREM2,COCH,TRIM38,NMI,CXCL6,IRF3,APOE,TLR4,VAV1,ADAM8,ADAR,SYK,PTPN2,TBK1,YTHDF3,PLCG2,DTX3L,PVR,UBE2K,CEACAM1,SASH1,SERPINB9,ILRUN,EIF2AK4,EP300,HCK,XIAP,PTPN6,PTPN11
	1.2E-02	62	469	1.64	GO:0032102 negative regulation of response to external stimulus	http://amigo.geneontology.org/amigo/term/GO:0032102	RORA,SERPINE1,PLAU,SEMA6D,NLRC5,SUSD4,GHRL,SEMA4C,SEMA3E,SEMA4A,APOE,LTF,GRN,ATG5,F11,RNF125,F12,FGF2,SERPING1,CD109,IFI16,KLKB1,FPR2,IRAK3,TYRO3,TREM2,ACP5,HAMP,DVL1,SH2B3,TRIM38,IL12B,NMI,GPR18,NR1D1,ZFP36,KIAA0319,GRID2,ADAR,NPY5R,SOCS5,NR1D2,NLRP6,PTPN2,NRXN1,YTHDF3,LRIG2,CEACAM1,ADTRP,C5AR2,MFHAS1,CLDN3,SERPINB9,PRKG1,ILRUN,SIGLEC10,SPX,HCK,TEK,RHBDF2,SYK,YES1
	1.3E-02	296	3183	1.22	GO:0002376 immune system process	http://amigo.geneontology.org/amigo/term/GO:0002376	CD38,ITGA3,LTF,TNK2,TPD52,IL4R,CEACAM1,ITGA6,TREM2,MADCAM1,HCK,TLR8,RELB,TRIM14,BST1,UNC93B1,IL23A,FRK,TRIM38,IFIH1,CD48,CR2,MPL,IRF6,HELLS,CXCL6,IL37,IRF3,CRACR2A,THEMIS2,LGALS3,PTPN22,C5AR2,DYSF,TLR4,CTSV,IRF4,PARP9,NLRC5,TNFRSF11A,IFITM3,XCL1,SUSD4,TNFRSF21,ADAM8,BANK1,KIT,ICOSLG,JAML,GBP4,FLVCR1,TAFA4,IFI16,CXCL3,PF4,OTUD4,SYK,BTNL9,CLEC4D,KLK5,RHOH,BTNL3,CXCL11,FPR2,NRROS,CLCF1,YES1,CD19,FES,IFNE,FPR3,S100A14,CD55,SIGLEC15,CR1L,TOX,MAFB,CD177,NFAM1,CEBPA,ACTB,HIF1A,IL12B,MAD2L2,PIK3R5,ZC3H12A,PIK3CD,CEBPB,C1QA,TBK1,FLNA,CD44,GRN,CYBA,ROCK1,IFI35,PVR,TESC,CD209,TGFB2,SIRT1,RNF125,SFRP1,CALCA,CYP27B1,GPLD1,ZP4,CLU,INHBA,NMI,EDN3,BMP4,TNFSF14,ZFP36,APOBEC3F,GCH1,SERINC3,OASL,LCP1,CH25H,ANXA3,SLC15A4,KLK3,PLA2G7,SERPING1,IL18,MIA3,F11R,FZD5,TLR3,SERPINB9,NLRP6,LACC1,H2BC4,L3MBTL1,HEXIM1,PLA2G2A,PLCG2,CALCR,DPEP1,SH2D2A,HMGB3,POLQ,PRDM1,ATG5,SPHK2,CNN2,PRKCZ,RORA,WDR1,ADD2,THOC1,RIF1,SLC8B1,ICAM1,IRAK3,TYRO3,EP300,COCH,NFKBIA,MMP9,ACP5,FCER2,EBI3,HAMP,PTPRZ1,TMEM33,CBL,SLC15A3,POU2AF1,TRPV4,SH2B3,PTPN6,RHAG,ZBTB24,STXBP3,ARHGEF2,LEPR,PRG4,ARTN,GPR68,GPR18,NR1D1,EIF2AK4,APOE,ZBTB46,PIAS3,SFTPD,SWAP70,TSPAN2,IL15RA,DOCK2,ABI1,HERC5,BRCA2,CUL4A,VAV1,TRPM2,SIGLEC10,NFKBIZ,METTL14,MFHAS1,LCN2,FLI1,ZFP36L2,MCOLN2,MMP21,PPARGC1B,CD109,BRAF,ANKLE1,ZBTB7B,ADAR,SQSTM1,IKZF3,MYSM1,FCMR,SLC15A2,DTX3L,NPY5R,CITED2,DACT2,LMO1,STAT6,MAP4K2,PTAFR,ALCAM,SOCS5,RARG,PTPN2,PAWR,ZBTB7A,PTPN11,APOBEC3B,SSC5D,HCLS1,TMEM64,DHTKD1,ADGRB1,MX2,YTHDF3,IRS2,LITAF,IL1RAP,SEMA4A,ILRUN,MAP3K5,ENPP1,LGR4,IFI30,FNIP1,CEBPD,ORM1,TNFSF12,APOBEC3D,APOBEC3C,MRC1,STXBP2,DHRS2,PRKCH,PIK3CB,ACTN1,UBE2K,SNAP23,WASL,SERPINE1,BMPR1A,ADTRP,GOLPH3,RAB29,AKAP1,SDC4,ADGRE2,MYC,ETV6,SH3KBP1,RAB3B,HHEX,HIPK1,ADSS2,CERT1,MT1G,ASH2L,ITGAD,TREML1,MAPK9,LY75,XIAP,CTSD,TEK,RHBDF2,F12,ATP6V0A2,CLEC2A,MBP,SIPA1
	1.5E-02	83	762	1.51	GO:0002252 immune effector process	http://amigo.geneontology.org/amigo/term/GO:0002252	IL4R,IL23A,CR2,CRACR2A,PTPN22,DYSF,SUSD4,SYK,KLK5,FES,IFNE,CD55,CR1L,CD177,MAD2L2,C1QA,GRN,IFI35,PVR,CEACAM1,TGFB2,IL12B,NMI,LCP1,ANXA3,KLK3,XCL1,SERPING1,IL18,KIT,FZD5,CD19,LACC1,ATG5,SPHK2,PRKCZ,RORA,WDR1,THOC1,RIF1,ICAM1,IRAK3,TREM2,SIRT1,ACP5,RELB,FCER2,CBL,POU2AF1,PTPN6,CLU,CXCL6,SWAP70,DOCK2,TLR4,IRF4,SLC15A4,VAV1,NFKBIZ,ZBTB7B,ZC3H12A,TLR3,CLEC4D,STAT6,PTAFR,SOCS5,NLRP6,CLCF1,LITAF,SEMA4A,PLCG2,STXBP2,STXBP3,SERPINB9,SNAP23,ADGRE2,EIF2AK4,LGALS3,HCK,TLR8,PIK3CD,YES1,CLEC2A
	1.7E-02	87	653	1.49	GO:0002521 leukocyte differentiation	http://amigo.geneontology.org/amigo/term/GO:0002521	TPD52,IL23A,CRACR2A,PTPN22,TNFRSF11A,KIT,SYK,IFNE,SIGLEC15,TOX,ACTB,PIK3CD,TESC,TREM2,CALCA,IL12B,CR2,BMP4,IFI16,PF4,CALCR,HMGB3,PRDM1,ATG5,PRKCZ,RORA,IL4R,TYRO3,SIRT1,EP300,SFRP1,RELB,POU2AF1,PTPN6,LEPR,GPR68,GPR18,ZBTB46,PIAS3,TSPAN2,IL15RA,DOCK2,IRF4,CUL4A,VAV1,TRPM2,NFKBIZ,IL18,ADAM8,ZFP36L2,PPARGC1B,CD109,BRAF,ZBTB7B,IKZF3,FZD5,ZC3H12A,CITED2,CLEC4D,STAT6,RHOH,SOCS5,CEBPB,NRROS,PTPN2,CLCF1,CD19,ZBTB7A,HCLS1,TMEM64,SEMA4A,PLCG2,MAFB,FNIP1,NFAM1,CEBPA,DHRS2,MYC,FES,LTF,CEACAM1,HHEX,MT1G,TLR4,TLR3,MMP9,INHBA
	1.7E-02	130	972	1.37	GO:0098655 cation transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:0098655	SLC7A2,ATP2C1,SLC9A7,TRPC5,ATP12A,SLC8B1,TRPM7,KCNK6,CACNG7,ATP4A,HAMP,SCN1B,ASIC2,TRPV4,RHAG,KCNC4,SLC8A2,PKD2,TRPM6,KCNS1,KCNK17,SLC25A19,CRACR2A,DPP6,KCNC3,TMEM165,TRPC6,SLC39A5,STAC2,TRPM2,CACNG8,ATP1B1,CACNA1B,KCNE4,SLMAP,SLC7A3,SLC39A2,CACNB2,SCNN1G,KCNAB1,SLC30A1,KCNS3,KCNG3,ATP2A2,KCNE3,OTOP2,KCND2,SLC36A2,NPSR1,SLC25A29,CNGA1,SHISA8,AKAP5,GRIN2A,ATP6V0A2,FLNA,RYR2,VMP1,GNB5,SLC4A11,TESC,MMP9,HVCN1,FGF2,XCL1,LRRC38,NETO1,CXCL11,CD19,PLCG2,WWP2,CYBA,MCOLN3,ATG5,SPHK2,TMEM38A,TREM2,PIEZO1,NIPAL2,CHRNE,SLC9A3R1,SLC15A3,PTPN6,SLC22A2,SLC4A9,SLC19A2,EDN3,HSPA2,PTPN22,SLC19A3,LHCGR,SLC15A4,METTL21C,STOM,SLC25A4,HOMER1,MCOLN2,CACNA2D1,SLC5A10,JPH3,KCNMA1,COX6A2,CACNA2D3,SLC34A2,PKD1L1,ATP13A2,SLC15A2,CYB5A,PKD1L2,MFSD3,SLC33A1,TMEM37,ZDHHC13,SLC38A9,SLC25A18,TCN2,P2RX2,CATSPER4,SLC34A3,CALCR,CLTRN,DIAPH1,COX17,NOS1,MINK1,CRHBP,ADRA2A,NRXN1,CAPN1,JPH1
	1.7E-02	345	2945	1.20	GO:0032879 regulation of localization	http://amigo.geneontology.org/amigo/term/GO:0032879	FZD5,LEPROT,ICA1,PRSS8,FGF22,LLGL2,CADPS2,SLC8B1,TREM2,MADCAM1,HRH3,FGF21,CACNG7,HAMP,SCN1B,TRIM14,FGF6,TRIM38,PKD2,DENND10,TEK,RAP2C,KCNS1,PACSIN1,RHBDF2,CRACR2A,APOC1,DPP6,LGALS3,SFTPD,SYT6,DYSF,SEMA6D,FGF2,RAB15,MCTP2,STAC2,TRPM2,CACNG8,XCL1,RAB5A,CRHBP,CLTRN,ADAM8,SLC25A4,BICD1,KCNE4,HOMER1,AZIN1,GHRL,KIT,SLMAP,SYK,CACNB2,RHOH,SEMA4C,RAB3B,KCNAB1,SEMA3E,SYT12,KCNE3,FES,NPSR1,S100A14,SEMA4A,PLCG2,WWP2,CD177,SYT3,PLIN5,SHISA8,BRMS1L,ADRA2A,AKAP5,GRIN2A,FLNA,RYR2,ITGA3,CYBA,TNK2,VMP1,ROCK1,GNB5,FERMT2,FGFR1,CEACAM1,CARMIL1,TESC,TGFB2,SIRT1,PLTP,MMP9,ANGPT4,SFRP1,SERPINE1,DVL1,BST1,CALCA,GLI1,SASH1,LEPR,CTSD,TNN,PLAU,ACVR1C,EDN3,IQSEC2,BMP4,VIL1,APOE,EMILIN2,LGR6,LCP1,FGFBP1,TRPC6,ANXA3,ATP1B1,PLA2G7,CACNA2D1,MIA3,PROM2,BRAF,ATP13A2,CARMIL2,LRRC38,ZC3H12A,TERT,NETO1,NKX3-1,ATCAY,AR,CXCL11,CLIC4,FPR2,CEBPB,SYNPO2,JUP,PODN,VCPIP1,CD19,PTPN11,ADGRB1,ANO9,PRKG1,SHTN1,ENPP1,TUNAR,GCLC,CD38,ARHGAP44,EHD2,VCL,PIK3CB,MCOLN3,ATG5,PPP1R12A,SPHK2,CNN2,PRKCZ,TMEM38A,WDR62,IL4R,EDEM2,KCNK6,HIF1A,GPR143,EHD4,CBLL1,WASL,ASIC2,SLC9A3R1,IL23A,TRPV4,PTPN6,DPYSL3,STXBP3,KCNC4,RAB29,GPR68,PLS1,LYPLA1,LRAT,HVCN1,SDC4,H1-1,KCNK17,GPR18,TNFSF14,NR1D1,HSPA2,SYNGR3,AKAP12,KCNC3,DIAPH1,SWAP70,RRAS2,PTPN22,DOCK2,ABHD17C,TLR4,LHCGR,KIF20B,METTL21C,GAS8,TNFRSF11A,STOM,ASTN2,CACNA1B,DOC2A,IGSF10,MCOLN2,JPH3,PIP4P2,KCNMA1,CACNA2D3,SV2A,SQSTM1,MYSM1,PKDCC,PRKCI,KLF15,NPY5R,SPINK1,CHRM1,PTAFR,SLC30A1,TTLL6,KCNS3,KCNG3,TMEM37,ATP2A2,NLRP6,PTPN2,SFN,YES1,RIMS2,FOXC2,BOK,NRXN1,TACSTD2,KCND2,IRS2,CATSPER4,CD2AP,SYCP1,LRIG2,CALCR,TBXA2R,ACTB,TFR2,IL12B,CLU,INHBA,PARP9,DTX3L,PIK3CD,DPEP1,ATP2C1,GRN,DSG2,LAMC2,PPP2R5A,CLTCL1,ATP8B1,CEACAM6,TRIP6,ICAM1,ITGA6,NFKBIA,ZMYND8,HCK,EPPIN,EMD,HAS1,MET,BMPR1A,CBL,ADTRP,GPLD1,GOLPH3,VPS4B,RAB9A,AGO2,STAT5A,BECN1,ADGRE2,ZFP36,XPO4,IL15RA,C5AR2,CLDN10,TMBIM1,GCC2,COX17,USP8,TPM1,ITGAX,CLTC,MINK1,GOLPH3L,PTPRG,MFHAS1,ANKRD1,TCF7L2,S100A11,ICE1,CITED2,CLDN3,NDEL1,STX3,PIP5KL1,RAB33B,DCP2,RHOD,CEP135,FUT1,HCLS1,USH1G,MX2,YTHDF3,CLDN4,PTPRT,MYO6,ILRUN,GJA5,SMIM22,ABCA7,STXBP2,CHRNA3,NOS1,RFFL,CREBL2,ARHGEF2,SPX,MTCL1,CHRNB4,P2RX2,ADRA2B,CAPN1,PRKCH,JPH1,SGK1,BDNF,ALOX15B,RXRA
	1.7E-02	361	3210	1.19	GO:0009966 regulation of signal transduction	http://amigo.geneontology.org/amigo/term/GO:0009966	ATP2C1,TRIM38,ZDHHC13,LITAF,FLNA,ARHGAP44,CD44,WWC3,TLE2,LLGL2,TRAF5,TRIP6,MAPKAPK5,IRAK3,RFFL,TGFB2,TREM2,GRK3,GSKIP,GPR143,XIAP,EMD,SFRP1,CACNG7,MET,TRIM14,TNKS2,CBL,CAPRIN2,IL23A,SASH1,GRB14,FHL2,DLGAP3,ARHGEF2,TEK,CAAP1,INHBA,ARHGAP40,DOK4,GPR18,BMP4,RHBDF2,CRACR2A,AKAP12,EPS8L1,LGALS3,PTPN22,TMBIM1,GH2,UACA,PAK6,DUSP5,PARP9,FGF2,NLRC5,MINK1,PIK3R5,IGFBP4,CBLC,CACNG8,XCL1,CRHBP,CSNK1G3,WWC2,SLC25A4,BEND6,BANK1,KIT,FGFR4,LEMD2,DHRS3,FRZB,TGFA,CCNYL1,OTUD4,DACT2,NETO1,IGFBP6,DLGAP1,ADRA1D,PDE3A,WFIKKN2,EPS8L2,GPR4,DAND5,SHISA2,IFNE,ROR1,PDE6G,SPRY4,SPRED3,ALKAL1,STYX,CD177,LEPROT,SHISA8,ALS2,HIF1A,BRMS1L,BRCA2,HOMER1,GHRL,JUP,AKAP5,GRIN2A,LTF,CYBA,IFI35,FERMT2,JADE1,FGFR1,PIAS2,CEACAM1,ICAM1,SIRT1,EP300,RSPO4,RNF125,SALL1,FGF21,NPTX2,SERPINE1,SPIN1,BMPR1A,SLC9A3R1,TMEM33,CALCA,VWF,CYP27B1,GLI1,PTPN6,CCNC,IL12B,PRLR,ACVR2B,PLAU,NMI,EDN3,TNFSF14,OVOL2,KLK14,APOE,WBP2,LGR6,OASL,TLR4,MYC,PRICKLE1,BRD4,ASXL2,NLGN4X,IGSF1,NACC2,ANKRD1,ADRA2A,IL18,THRB,UCHL1,CD109,RBPMS,CREB3L1,BRAF,HTR6,F11R,NEK8,HIPK1,PF4,ZC3H12A,TLR3,CITED2,FBP1,NKX3-1,PSCA,KLK5,MAP4K2,RHOH,SEMA4C,AR,NR0B1,SEMA3E,SOCS5,PDZD3,HPSE,NLRP6,PTPN2,SLC38A9,PTPN11,NRXN1,SOCS4,LYNX1,SOX2,RXRA,PLA2G2A,PTPRT,AKR1C3,CD55,TRIM33,ENPP1,RASGEF1A,LGR4,FNIP1,TNFSF12,ADRA2B,GCLC,ITGA3,IL20RA,GCLM,GUCA1A,MAPK9,PIK3CB,SEZ6,SPHK2,KIF26A,ARFGEF1,PRKCZ,RORA,EPHA8,TYRO3,NFKBIA,PPP2CB,DLX5,DVL1,RGS9,SLC15A3,TRPV4,SH2B3,CTH,SLC8A2,HELLS,TNN,SOCS2,IQSEC2,NR1D1,IRF3,BECN1,ELL3,RAMP2,SERINC3,KRAS,MBD2,ELP2,C5AR2,IRF4,FGFBP1,LHCGR,SLC15A4,CUL4A,GAS8,ARHGAP26,MFHAS1,CNKSR2,ADAM8,ZBTB7B,ADAR,RNF149,FZD5,TAFA4,KLF15,NPY5R,SPINK1,TERT,SYK,ARHGAP42,PLEKHF1,CLEC4D,RGS14,CAVIN4,LPAR3,NRROS,SEZ6L2,BOK,PAWR,CD19,ZBTB7A,ALOX15B,TMEM64,TBK1,CHEK2,YTHDF3,NPSR1,STRN3,MAP3K5,SIPA1L1,PLCG2,APCDD1L,LRIG2,SIPA1,PLIN5,NFAM1,CALCR,KIAA0319,FPR2,PIK3CD,CASP10,PRKCH,ROCK1,UBE2K,THOC1,ZFAND6,ITGA6,PCDH11Y,MMP9,PPP1R16B,BST1,GOLPH3,MAD2L2,RAB29,PKD2,CLU,CHAC1,LARS1,USP8,IQGAP1,TNFRSF11A,TCF7L2,HHEX,DEDD2,SQSTM1,ARHGAP12,VWA2,PIP4K2C,KMT2D,FEM1B,TSPEAR,NUPR1,HCLS1,HEXIM1,NCOR2,CD2AP,NPTXR,ABCA7,SCTR,WDR11,NGF,OCIAD2,BICD1,SLC15A2,ADGRV1,HTRA4,RIMS2,BDNF,SENP2,CYP26C1,P2RX2,CAPN1,USP2,UBE2D1,SGK1,GUCY2D,SWAP70,DOCK2,FGD4,VAV1,ARHGEF19,CAMKMT,PRKCI,RHOD,GNG7,WWP2,ARHGEF15
	1.9E-02	65	533	1.59	GO:0002683 negative regulation of immune system process	http://amigo.geneontology.org/amigo/term/GO:0002683	CR2,PTPN22,NLRC5,SUSD4,TNFRSF21,BANK1,CD55,CR1L,XCL1,ZC3H12A,GRN,CEACAM1,TGFB2,CALCA,SERPING1,IFI16,HMGB3,ATG5,CNN2,IL4R,THOC1,IRAK3,TYRO3,TREM2,ACP5,SFRP1,PTPN6,IL12B,GPR68,NMI,GPR18,NR1D1,ZBTB46,PIAS3,CUL4A,ZBTB7B,ADAR,NPY5R,STAT6,SOCS5,CEBPB,NLRP6,PTPN2,PAWR,YTHDF3,MAFB,CEBPA,WASL,ADTRP,SDC4,BMP4,C5AR2,MYC,MIA3,SERPINB9,LTF,LGALS3,TLR4,TLR3,HCK,INHBA,RHBDF2,SFTPD,SYK,YES1
	2.0E-02	131	967	1.37	GO:0019725 cellular homeostasis	http://amigo.geneontology.org/amigo/term/GO:0019725	CALCR,TBXA2R,ATP2C1,SLC9A7,TRPC5,ATP12A,FTL,SLC8B1,GSR,ATP4A,HAMP,TFR2,CALCA,TRPV4,SLC4A9,SLC8A2,PKD2,EDN3,MT1G,GPR18,PTGER2,C5AR2,TMEM165,TRPC6,SLC39A5,TRPM2,ATP1B1,FATE1,CACNA1B,SLC34A2,ATP13A2,CD52,MT1E,SLC30A1,FPR2,ADRA1D,ATP2A2,GPR4,ATP6V0A2,MT1X,NPSR1,FPR3,SLC34A3,MT1H,MT1HL1,AKAP5,FLNA,RYR2,GCLC,UBE2K,SLC4A11,HIF1A,RHAG,GLP1R,MYC,FGF2,XCL1,CLTRN,LCN2,KCNMA1,SCNN1G,CXCL11,CD19,LACC1,GRIN2A,CD55,ENPP1,PLCG2,TUNAR,CD38,GCLM,HEXB,PIK3CB,CYBA,MCOLN3,ATG5,GNA15,TMEM38A,ICAM1,TRPM7,TYRO3,TREM2,SIRT1,FGF21,SLC9A3R1,PTPN6,STXBP3,GPR68,ACO1,HVCN1,NR1D1,APOE,SCO1,SWAP70,LHCGR,METTL21C,SYPL2,ADRA2A,MCOLN2,JPH3,GHRL,SV2A,KLF15,SPINK1,GRIK2,CACNB2,CLIC4,FOXA3,KCNE3,BOK,TMEM64,IRS2,MAFG,GRN,CHMP2B,DIAPH1,RAB39A,HEPHL1,SCTR,GPLD1,CACNA2D1,LARGE2,TESMIN,DEDD2,P2RX2,CP,NOS1,JPH1,FLVCR1,LPAR3,S1PR3
	2.0E-02	123	1122	1.38	GO:0045321 leukocyte activation	http://amigo.geneontology.org/amigo/term/GO:0045321	CD38,TPD52,TREM2,BST1,IL23A,CD48,HELLS,CRACR2A,PTPN22,DYSF,TNFRSF21,BANK1,KIT,SYK,CLCF1,FES,IFNE,CD177,ACTB,IL12B,ZC3H12A,PIK3CD,CD44,GRN,IFI35,CEACAM1,CD209,MAD2L2,ZP4,CR2,CLU,NMI,CXCL6,TNFSF14,LCP1,ANXA3,XCL1,IL18,CD19,PLA2G2A,CD55,SH2D2A,HMGB3,PRDM1,ATG5,SPHK2,PRKCZ,RORA,IL4R,THOC1,RIF1,TYRO3,EP300,SFRP1,RELB,EBI3,HAMP,CBL,POU2AF1,PTPN6,LEPR,MPL,GPR18,NR1D1,ZBTB46,THEMIS2,SWAP70,IL15RA,DOCK2,TLR4,IRF4,SLC15A4,VAV1,NFKBIZ,ADAM8,ZFP36L2,BRAF,ICOSLG,JAML,ZBTB7B,IKZF3,FZD5,TLR3,LMO1,CLEC4D,STAT6,RHOH,PTAFR,SOCS5,CEBPB,C1QA,PTPN2,PAWR,ZBTB7A,TBK1,IRS2,SEMA4A,PLCG2,TOX,MAFB,FNIP1,NFAM1,CEBPA,STXBP2,DHRS2,STXBP3,ICAM1,SNAP23,RAB29,SDC4,BMP4,ADGRE2,LGALS3,SH3KBP1,MFHAS1,EIF2AK4,HHEX,FPR2,MT1G,INHBA,SFTPD,YES1,PTPN11
	2.0E-02	78	511	1.51	GO:0034765 regulation of ion transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:0034765	CACNG7,HAMP,SCN1B,KCNS1,CRACR2A,DPP6,STAC2,CACNG8,KCNE4,SLMAP,CACNB2,KCNAB1,KCNE3,NPSR1,WWP2,SHISA8,AKAP5,GRIN2A,RYR2,VMP1,GNB5,TESC,MMP9,TRPC6,ATP1B1,XCL1,LRRC38,NETO1,CXCL11,CD19,ANO9,FLNA,CYBA,ATG5,SPHK2,TMEM38A,TREM2,KCNK6,ASIC2,SLC9A3R1,PTPN6,KCNC4,PKD2,HVCN1,EDN3,KCNK17,HSPA2,KCNC3,PTPN22,LHCGR,METTL21C,STOM,CACNA1B,HOMER1,CACNA2D1,JPH3,KCNMA1,CACNA2D3,PTAFR,CLIC4,SLC30A1,KCNS3,KCNG3,TMEM37,KCND2,CATSPER4,PLCG2,CALCR,CLTRN,DIAPH1,COX17,NOS1,MINK1,CRHBP,ADRA2A,NRXN1,CAPN1,JPH1
	2.0E-02	55	403	1.65	GO:0050727 regulation of inflammatory response	http://amigo.geneontology.org/amigo/term/GO:0050727	GRN,RORA,TREM2,GHRL,IL23A,IL12B,APOE,TLR4,IL18,MAPK13,TLR3,IFI35,NFKBIA,BST1,F12,BRD4,XCL1,FPR2,NLRP6,C2CD4B,TYRO3,ACP5,HAMP,TRPV4,NMI,NR1D1,IRF3,ZFP36,TNFRSF11A,ADAM8,NPY5R,SOCS5,CEBPB,NR1D2,PTPN2,NUPR1,GPR4,LACC1,CEBPA,SERPINE1,IL37,NFKBIZ,MFHAS1,PLCG2,SIGLEC10,MMP9,HCK,XIAP,TEK,RHBDF2,PLA2G7,KLKB1,SYK,YES1,PLA2G2A
